,Unnamed: 0,linkID,boro,lat,long,status,activationDate,installationDate,streetPlacement,wifi
0,178,LINK-012510,Manhattan,40.77497,-73.981079,Live,11/23/2016,10/22/2016,corner,191
1,179,LINK-011000,Manhattan,40.736639,-73.993282,Live,04/04/2018,09/30/2017,corner,781
2,180,LINK-003263,Manhattan,40.715712,-74.005126,Installed,,08/01/2018,corner,309
3,181,LINK-011075,Manhattan,40.739647,-73.979466,Live,01/25/2019,08/09/2018,corner,414
4,182,LINK-011252,Queens,40.747603,-73.885751,Live,10/13/2017,08/31/2017,corner,234
5,183,LINK-012786,Queens,40.748551,-73.875775,Live,09/08/2017,08/05/2017,block,115
6,184,LINK-018086,Brooklyn,40.646179,-73.958203,Live,09/15/2017,04/08/2017,corner,170
7,185,LINK-000303,Manhattan,40.747788,-73.976777,Live,03/21/2016,02/06/2016,corner,685
8,186,LINK-003478,Manhattan,40.793962,-73.970571,Live,08/07/2017,06/27/2017,corner,397
9,187,LINK-012255,Manhattan,40.738097,-73.987738,Live,05/24/2018,03/03/2018,block,467
10,188,LINK-000039,Brooklyn,40.664176,-73.990353,Live,07/25/2017,06/27/2017,corner,113
11,189,LINK-008239,Manhattan,40.719679,-74.004974,Live,05/02/2018,11/18/2017,corner,458
12,190,LINK-010697,Manhattan,40.779561,-73.959954,Installed,,04/10/2018,corner,393
13,191,LINK-013965,Manhattan,40.735187,-73.989871,Live,11/21/2016,10/08/2016,corner,407
14,192,LINK-014096,Manhattan,40.756944,-73.96407,Live,03/08/2018,10/20/2017,corner,544
15,193,LINK-000473,Manhattan,40.745443,-73.998619,Live,06/24/2016,05/25/2016,corner,457
16,194,LINK-001712,Staten Island,40.565852,-74.114224,Live,02/22/2017,01/31/2017,block,15
17,195,LINK-001195,Queens,40.744278,-73.930399,Live,02/02/2017,11/05/2016,block,38
18,196,LINK-000074,Bronx,40.861655,-73.898581,Live,05/25/2016,05/12/2016,corner,14
19,197,LINK-008694,Manhattan,40.744668,-73.991375,Live,11/02/2017,08/19/2017,corner,1131
20,198,LINK-013956,Manhattan,40.732391,-73.991387,Live,11/10/2016,10/15/2016,corner,487
21,199,LINK-008693,Manhattan,40.745578,-73.991002,Live,11/02/2017,09/10/2017,corner,854
22,200,LINK-020548,Bronx,40.807108,-73.918343,Live,07/11/2018,02/12/2018,block,239
23,201,LINK-012620,Manhattan,40.743971,-73.991883,Live,04/05/2018,10/28/2017,corner,705
24,202,LINK-000518,Manhattan,40.754666,-73.991816,Live,05/12/2016,04/30/2016,corner,1032
25,203,LINK-021234,Brooklyn,40.718513,-73.957231,Live,08/02/2018,02/26/2018,corner,133
26,204,LINK-011127,Manhattan,40.751834,-73.970593,Live,05/17/2018,02/17/2018,corner,427
27,205,LINK-000312,Manhattan,40.749658,-73.975104,Live,01/05/2018,07/29/2017,corner,318
28,206,LINK-000453,Manhattan,40.742297,-74.00094,Live,04/07/2016,03/18/2016,corner,436
