,linkID,boro,lat,long,status,activationDate,installationDate,streetPlacement,wifi
534,LINK-010501,Queens,40.764538,-73.930599,Live,05/18/2017,03/25/2017,corner,3
535,LINK-002241,Brooklyn,40.680556,-73.951381,Live,04/10/2017,02/24/2017,corner,44
536,LINK-001675,Manhattan,40.750966,-73.974148,Live,07/21/2016,07/19/2016,corner,67
537,LINK-000544,Manhattan,40.763803,-73.985157,Live,05/21/2018,04/07/2018,block,171
538,LINK-013778,Manhattan,40.754392,-73.969184,Live,04/10/2018,01/27/2018,corner,59
539,LINK-000937,Manhattan,40.776311,-73.981937,Live,10/28/2016,09/08/2016,corner,18
540,LINK-003483,Manhattan,40.795951,-73.968849,Live,10/10/2016,07/28/2016,corner,39
541,LINK-000180,Manhattan,40.764672,-73.982363,Live,07/19/2016,05/14/2016,corner,144
542,LINK-011105,Manhattan,40.741515,-73.993963,Live,10/18/2018,02/24/2018,corner,167
543,LINK-010914,Manhattan,40.852257,-73.931452,Live,03/29/2018,12/01/2017,corner,29
544,LINK-010177,Manhattan,40.758689,-73.965589,Live,04/04/2018,10/28/2017,corner,33
545,LINK-002342,Brooklyn,40.679232,-73.927098,Live,11/09/2016,10/27/2016,corner,3
546,LINK-000849,Manhattan,40.772144,-73.958697,Live,03/24/2016,03/05/2016,corner,53
547,LINK-000111,Manhattan,40.766175,-73.981988,Live,07/19/2016,05/26/2016,corner,148
548,LINK-005933,Manhattan,40.802637,-73.936468,Installed,,06/05/2018,block,42
549,LINK-001492,Manhattan,40.791401,-73.973822,Live,07/07/2016,06/24/2016,corner,74
550,LINK-000029,Brooklyn,40.71777,-73.957869,Live,01/29/2019,11/03/2017,corner,157
551,LINK-007637,Manhattan,40.755193,-73.968444,Live,02/15/2018,10/28/2017,corner,105
552,LINK-007086,Manhattan,40.773657,-73.981404,Live,01/11/2017,08/11/2016,corner,83
553,LINK-021931,Brooklyn,40.677895,-73.90299,Live,01/16/2018,09/29/2017,corner,2
554,LINK-010795,Manhattan,40.787079,-73.971881,Live,04/11/2018,02/08/2018,corner,132
