,Unnamed: 0,linkID,boro,lat,long,status,activationDate,installationDate,streetPlacement,wifi
0,0,LINK-018377,Manhattan,40.800096,-73.938605,Live,05/17/2018,04/10/2018,block,169
1,1,LINK-002526,Brooklyn,40.688449,-73.982472,Live,01/30/2017,11/11/2016,corner,58
2,2,LINK-012859,Manhattan,40.758777,-73.96584,Live,03/28/2019,05/12/2018,corner,339
3,3,LINK-013290,Manhattan,40.720983,-74.006488,Installed,,07/31/2018,block,115
4,4,LINK-011214,Manhattan,40.750458,-73.971893,Live,02/16/2018,11/11/2017,corner,498
5,5,LINK-001680,Manhattan,40.820764,-73.954808,Live,07/07/2016,06/17/2016,corner,110
6,6,LINK-014333,Queens,40.69145,-73.866734,Live,07/21/2017,06/03/2017,block,35
7,7,LINK-010934,Manhattan,40.792035,-73.971979,Live,02/07/2017,12/01/2016,corner,418
8,8,LINK-010805,Manhattan,40.764821,-73.970303,Live,05/31/2017,04/08/2017,corner,279
9,9,LINK-011271,Bronx,40.851329,-73.908266,Live,01/12/2018,10/20/2017,corner,196
10,10,LINK-013883,Manhattan,40.768406,-73.989215,Live,12/04/2017,09/23/2017,corner,318
11,11,LINK-011438,Manhattan,40.833285,-73.945092,Live,02/01/2017,12/20/2016,corner,77
12,12,LINK-001482,Manhattan,40.789457,-73.975041,Live,08/07/2017,06/30/2017,corner,66
13,13,LINK-018196,Manhattan,40.818023,-73.956374,Live,04/25/2018,01/27/2018,corner,119
14,14,LINK-011604,Brooklyn,40.676976,-73.949916,Live,03/07/2017,02/17/2017,corner,227
15,15,LINK-000832,Manhattan,40.76606,-73.963554,Live,10/16/2017,07/29/2017,corner,261
16,16,LINK-013880,Manhattan,40.737886,-73.996604,Live,01/17/2019,05/12/2018,corner,430
17,17,LINK-000928,Manhattan,40.774894,-73.982571,Live,07/19/2016,04/16/2016,corner,161
18,18,LINK-011423,Brooklyn,40.655746,-74.006549,Live,05/02/2018,02/26/2018,corner,176
19,19,LINK-012640,Manhattan,40.743395,-73.983878,Live,06/19/2018,02/24/2018,corner,797
20,20,LINK-012923,Manhattan,40.76777,-73.955691,Live,01/03/2018,09/28/2017,corner,247
21,21,LINK-011158,Manhattan,40.731602,-73.982548,Live,01/03/2018,10/07/2017,corner,188
22,22,LINK-012503,Manhattan,40.761049,-73.964181,Live,02/22/2018,10/28/2017,block,305
23,23,LINK-014393,Bronx,40.816188,-73.909917,Live,06/26/2018,05/17/2018,corner,5
24,24,LINK-003316,Manhattan,40.76164,-73.982996,Live,11/11/2016,10/16/2016,corner,771
25,25,LINK-001140,Queens,40.734545,-73.874705,Live,12/29/2016,11/05/2016,corner,108
26,26,LINK-011501,Bronx,40.851878,-73.908976,Live,08/01/2017,04/22/2017,corner,52
