,Unnamed: 0,linkID,boro,lat,long,status,activationDate,installationDate,streetPlacement,wifi
0,267,LINK-000225,Manhattan,40.73347,-73.987384,Live,07/19/2016,07/02/2016,corner,608
1,268,LINK-013089,Brooklyn,40.66355,-73.991246,Live,01/16/2018,09/23/2017,corner,161
2,269,LINK-012804,Manhattan,40.764117,-73.958948,Installed,,05/01/2018,corner,233
3,270,LINK-022136,Brooklyn,40.65123,-73.942062,Live,07/27/2018,11/10/2017,corner,49
4,271,LINK-010792,Manhattan,40.766736,-73.969308,Live,04/21/2017,12/18/2016,corner,271
5,272,LINK-000824,Manhattan,40.762107,-73.965809,Live,03/29/2016,02/27/2016,corner,289
6,273,LINK-011757,Bronx,40.846926,-73.898221,Live,01/12/2018,10/20/2017,corner,36
7,274,LINK-000929,Manhattan,40.774759,-73.982512,Live,07/19/2016,04/16/2016,corner,152
8,275,LINK-013844,Manhattan,40.742723,-73.9928,Live,07/09/2018,03/18/2018,corner,706
9,276,LINK-001500,Manhattan,40.793426,-73.973043,Live,02/06/2018,10/06/2017,corner,209
10,277,LINK-021227,Brooklyn,40.719067,-73.962765,Live,04/12/2018,12/08/2017,corner,58
11,278,LINK-018397,Bronx,40.86115,-73.8974,Live,01/12/2018,10/06/2017,corner,68
12,279,LINK-011207,Queens,40.748708,-73.874393,Live,10/11/2017,08/31/2017,corner,109
13,280,LINK-000960,Manhattan,40.781984,-73.981184,Live,10/16/2017,06/27/2017,corner,182
14,281,LINK-001542,Manhattan,40.796566,-73.970619,Live,11/02/2016,10/03/2016,corner,296
15,282,LINK-000516,Manhattan,40.754171,-73.991871,Live,04/06/2016,03/12/2016,corner,846
16,283,LINK-002057,Manhattan,40.827044,-73.950226,Live,09/18/2017,08/25/2017,corner,107
17,284,LINK-010811,Manhattan,40.742081,-73.993261,Live,07/06/2018,02/12/2018,corner,657
18,285,LINK-020239,Manhattan,40.756945,-73.971614,Live,10/20/2017,07/18/2017,block,292
