,Unnamed: 0,linkID,boro,lat,long,status,activationDate,installationDate,streetPlacement,wifi
37,304,LINK-014647,Manhattan,40.819293,-73.941018,Installed,,02/25/2018,corner,6
38,305,LINK-013727,Manhattan,40.752476,-73.970116,Live,02/01/2019,05/19/2018,corner,89
39,306,LINK-002118,Manhattan,40.837104,-73.942288,Live,03/06/2018,11/11/2017,corner,12
40,307,LINK-001557,Manhattan,40.799331,-73.968232,Live,07/07/2016,06/11/2016,corner,25
41,308,LINK-014190,Manhattan,40.720188,-73.993068,Live,10/28/2016,10/16/2016,corner,52
42,309,LINK-002070,Manhattan,40.830209,-73.947911,Live,07/20/2016,07/15/2016,corner,16
43,310,LINK-018117,Brooklyn,40.679815,-73.937627,Live,04/10/2017,03/02/2017,corner,29
44,311,LINK-018405,Staten Island,40.597715,-74.083828,Live,02/28/2017,02/19/2017,corner,12
45,312,LINK-000330,Manhattan,40.753149,-73.972868,Live,12/14/2017,07/29/2017,corner,126
46,313,LINK-000450,Manhattan,40.741621,-74.001321,Live,06/28/2017,05/26/2017,corner,162
47,314,LINK-010785,Manhattan,40.725004,-73.987039,Live,05/17/2018,03/10/2018,corner,68
48,315,LINK-001786,Bronx,40.827655,-73.923906,Live,05/11/2017,02/18/2017,corner,12
49,316,LINK-014609,Bronx,40.849486,-73.910931,Live,07/13/2017,04/22/2017,corner,2
50,317,LINK-011116,Queens,40.748878,-73.871463,Live,09/08/2017,07/22/2017,corner,36
51,318,LINK-000316,Manhattan,40.75096,-73.974467,Live,02/29/2016,02/07/2016,corner,104
52,319,LINK-007872,Manhattan,40.757975,-73.966421,Live,12/15/2017,10/07/2017,corner,58
53,320,LINK-000452,Manhattan,40.742046,-74.000711,Live,06/28/2017,05/26/2017,corner,65
54,321,LINK-001078,Brooklyn,40.660852,-73.960581,Live,03/07/2017,02/17/2017,corner,24
55,322,LINK-021395,Queens,40.695913,-73.83881,Live,08/14/2017,07/15/2017,corner,27
56,323,LINK-022142,Brooklyn,40.648607,-73.95782,Live,03/01/2019,09/17/2017,block,3
57,324,LINK-001356,Queens,40.751953,-73.927493,Live,04/09/2018,03/09/2018,corner,12
58,325,LINK-008303,Manhattan,40.728126,-73.985083,Live,06/05/2017,04/02/2017,corner,74
59,326,LINK-013712,Manhattan,40.739137,-73.980148,Live,01/16/2019,08/09/2018,corner,80
60,327,LINK-000366,Manhattan,40.761095,-73.967076,Live,09/28/2016,08/13/2016,corner,107
61,328,LINK-013736,Manhattan,40.745142,-73.982506,Live,08/03/2017,06/30/2017,corner,135
62,329,LINK-001756,Staten Island,40.595456,-74.08621,Live,07/19/2018,07/12/2018,corner,8
63,330,LINK-011729,Brooklyn,40.675965,-73.950008,Live,03/08/2017,02/03/2017,corner,122
64,331,LINK-000522,Manhattan,40.755281,-73.991371,Live,04/11/2016,03/06/2016,corner,263
65,332,LINK-011621,Bronx,40.846522,-73.893398,Live,08/24/2018,05/17/2018,corner,22
66,333,LINK-011110,Manhattan,40.723807,-73.988224,Live,02/09/2018,08/26/2017,corner,40
67,334,LINK-013172,Manhattan,40.805615,-73.950557,Live,01/20/2017,12/06/2016,corner,27
68,335,LINK-000134,Manhattan,40.748139,-73.988101,Live,04/10/2017,11/12/2016,corner,151
69,336,LINK-010844,Manhattan,40.738278,-74.005671,Live,01/17/2019,08/07/2018,corner,100
70,337,LINK-012575,Manhattan,40.740612,-73.979079,Live,01/17/2019,04/23/2018,corner,106
71,338,LINK-006150,Manhattan,40.798538,-73.969279,Live,08/04/2016,07/20/2016,corner,19
72,339,LINK-012661,Manhattan,40.745494,-73.990775,Live,12/27/2017,09/24/2017,corner,126
73,340,LINK-020599,Bronx,40.822338,-73.909427,Live,04/19/2018,03/04/2018,corner,0
74,341,LINK-000067,Bronx,40.860215,-73.893059,Live,05/25/2016,05/12/2016,block,36
75,342,LINK-007148,Manhattan,40.766649,-73.97935,Live,10/25/2016,09/18/2016,corner,81
76,343,LINK-000658,Manhattan,40.749503,-73.977195,Live,02/24/2018,08/05/2017,corner,116
77,344,LINK-012782,Manhattan,40.788832,-73.970335,Live,05/21/2018,02/26/2018,corner,99
78,345,LINK-000947,Manhattan,40.779331,-73.98199,Live,04/27/2016,03/29/2016,corner,25
79,346,LINK-013019,Bronx,40.80682,-73.917657,Live,07/26/2018,06/05/2018,corner,44
80,347,LINK-021069,Queens,40.748497,-73.949855,Live,05/31/2018,01/17/2018,corner,10
81,348,LINK-013690,Manhattan,40.780148,-73.976932,Live,06/05/2018,02/09/2018,corner,125
