,linkID,boro,lat,long,status,activationDate,installationDate,streetPlacement,wifi
356,LINK-010997,Manhattan,40.846875,-73.935653,Installed,,12/06/2017,corner,72
357,LINK-000963,Manhattan,40.782528,-73.980586,Live,06/27/2016,05/25/2016,corner,162
358,LINK-010897,Manhattan,40.800781,-73.946241,Live,01/25/2017,10/15/2016,corner,20
359,LINK-010682,Manhattan,40.789541,-73.969644,Installed,,05/07/2018,corner,13
360,LINK-006039,Manhattan,40.833447,-73.94174,Live,07/21/2016,07/15/2016,corner,60
361,LINK-011583,Bronx,40.860027,-73.893343,Live,03/30/2017,12/06/2016,corner,26
362,LINK-001505,Manhattan,40.794896,-73.971856,Live,07/20/2017,06/19/2017,corner,46
363,LINK-010982,Manhattan,40.80069,-73.961946,Live,04/20/2018,02/08/2018,corner,47
364,LINK-013157,Manhattan,40.801949,-73.949259,Live,02/06/2017,12/21/2016,corner,33
365,LINK-000116,Manhattan,40.744243,-73.989016,Live,11/08/2016,10/01/2016,corner,172
366,LINK-000398,Manhattan,40.764513,-73.977195,Live,05/08/2017,02/18/2017,corner,194
367,LINK-000077,Bronx,40.862855,-73.904547,Live,03/30/2017,02/18/2017,corner,13
368,LINK-014004,Manhattan,40.724925,-74.005795,Installed,,07/31/2018,corner,91
369,LINK-000284,Manhattan,40.743093,-73.979813,Live,06/24/2016,05/21/2016,corner,115
370,LINK-001715,Staten Island,40.570635,-74.109918,Live,12/09/2016,11/14/2016,corner,4
371,LINK-011040,Manhattan,40.829002,-73.937279,Installed,,06/05/2018,corner,18
372,LINK-012614,Manhattan,40.754593,-73.988137,Live,02/15/2018,08/19/2017,corner,140
373,LINK-011566,Manhattan,40.73196,-73.983802,Live,11/18/2016,10/01/2016,corner,164
374,LINK-010274,Manhattan,40.855615,-73.928997,Live,02/20/2018,12/01/2017,corner,22
375,LINK-000649,Manhattan,40.745071,-73.980374,Live,02/01/2019,06/05/2018,corner,102
376,LINK-000567,Manhattan,40.761816,-73.986606,Live,04/27/2016,03/18/2016,corner,172
377,LINK-001497,Manhattan,40.792534,-73.973125,Live,09/21/2017,08/13/2017,corner,73
378,LINK-021396,Queens,40.696331,-73.837842,Live,08/09/2017,07/22/2017,corner,13
379,LINK-000568,Manhattan,40.759937,-73.987972,Live,07/20/2016,07/13/2016,corner,99
380,LINK-018119,Brooklyn,40.679561,-73.9355,Live,03/20/2017,02/27/2017,corner,23
381,LINK-000726,Manhattan,40.752335,-73.979738,Live,05/04/2017,02/11/2017,corner,152
382,LINK-013014,Bronx,40.847574,-73.900766,Live,06/13/2017,05/06/2017,corner,1
383,LINK-020515,Bronx,40.812841,-73.916074,Live,05/31/2018,02/12/2018,corner,5
384,LINK-001682,Manhattan,40.822319,-73.953676,Live,07/14/2016,06/17/2016,corner,12
385,LINK-001596,Manhattan,40.800681,-73.96826,Installed,,08/07/2018,corner,82
