,linkID,boro,lat,long,status,activationDate,installationDate,streetPlacement,wifi
623,LINK-000501,Manhattan,40.749827,-73.995525,Live,05/05/2016,04/19/2016,corner,67
624,LINK-014430,Queens,40.757485,-73.868589,Live,02/28/2019,04/28/2018,corner,14
625,LINK-000002,Brooklyn,40.701668,-73.942489,Live,08/02/2017,07/01/2017,corner,7
626,LINK-012825,Brooklyn,40.652771,-73.94987,Live,06/09/2017,04/08/2017,corner,66
627,LINK-000274,Manhattan,40.740989,-73.981732,Live,07/19/2017,05/13/2017,corner,174
628,LINK-001683,Manhattan,40.822495,-73.953007,Live,07/01/2016,05/14/2016,corner,2
629,LINK-000191,Manhattan,40.737561,-73.996841,Live,12/02/2016,09/24/2016,corner,82
630,LINK-020513,Bronx,40.814394,-73.915181,Live,05/31/2018,02/12/2018,corner,4
631,LINK-000845,Manhattan,40.770946,-73.959496,Live,11/07/2016,10/01/2016,corner,84
632,LINK-010831,Manhattan,40.765277,-73.991493,Live,01/08/2018,09/23/2017,corner,128
633,LINK-014015,Manhattan,40.731219,-73.982827,Live,10/06/2017,08/12/2017,corner,87
634,LINK-003914,Manhattan,40.777921,-73.981853,Live,02/27/2017,01/27/2017,corner,49
635,LINK-000983,Manhattan,40.785753,-73.978785,Live,02/27/2017,09/08/2016,corner,31
636,LINK-002058,Manhattan,40.82732,-73.950026,Live,07/20/2016,07/14/2016,corner,21
637,LINK-012172,Bronx,40.812163,-73.916467,Live,05/31/2018,02/25/2018,corner,86
638,LINK-013018,Bronx,40.804706,-73.912933,Live,07/02/2018,05/17/2018,block,3
639,LINK-001555,Manhattan,40.799042,-73.968809,Live,11/03/2017,09/10/2017,corner,84
640,LINK-020833,Queens,40.753718,-73.932216,Live,02/12/2018,09/16/2017,corner,34
641,LINK-000346,Manhattan,40.757851,-73.969436,Live,10/25/2017,07/29/2017,corner,105
642,LINK-012730,Manhattan,40.730672,-73.989247,Live,03/29/2018,07/29/2017,corner,110
643,LINK-000047,Brooklyn,40.686812,-73.98497,Live,02/01/2018,11/17/2017,corner,23
644,LINK-018083,Brooklyn,40.650029,-73.958502,Live,05/01/2017,03/06/2017,corner,24
645,LINK-013275,Manhattan,40.751224,-73.990592,Live,01/17/2019,05/12/2018,corner,408
646,LINK-005213,Manhattan,40.82096,-73.950863,Live,12/02/2016,10/26/2016,corner,64
647,LINK-001546,Manhattan,40.797149,-73.969607,Live,09/06/2016,08/13/2016,corner,4
648,LINK-013832,Manhattan,40.754953,-73.980193,Live,04/14/2017,02/11/2017,corner,128
649,LINK-000527,Manhattan,40.758666,-73.9889,Live,04/11/2016,03/11/2016,corner,169
650,LINK-012986,Brooklyn,40.687594,-73.987068,Live,05/02/2018,11/03/2017,corner,19
651,LINK-018057,Brooklyn,40.688039,-73.981872,Live,04/28/2017,03/31/2017,corner,36
652,LINK-018085,Brooklyn,40.649115,-73.958291,Live,05/31/2017,05/06/2017,block,8
653,LINK-012224,Manhattan,40.750237,-73.977306,Live,10/06/2017,04/08/2017,corner,67
654,LINK-011159,Manhattan,40.8034,-73.956003,Live,11/01/2017,09/30/2017,corner,78
655,LINK-006032,Manhattan,40.827196,-73.946441,Live,08/22/2016,07/19/2016,corner,9
656,LINK-008224,Manhattan,40.731015,-73.988685,Live,10/27/2016,09/18/2016,corner,97
657,LINK-012586,Queens,40.755777,-73.923627,Live,10/09/2017,08/31/2017,corner,34
658,LINK-011014,Manhattan,40.736165,-73.982291,Live,04/11/2018,01/24/2018,corner,79
659,LINK-012649,Manhattan,40.736747,-73.981608,Live,04/11/2018,09/25/2017,corner,120
660,LINK-020932,Queens,40.753641,-73.918402,Live,11/07/2017,09/30/2017,block,11
661,LINK-021390,Queens,40.695048,-73.846656,Live,08/09/2017,07/15/2017,corner,7
662,LINK-000711,Manhattan,40.749832,-73.98156,Live,06/14/2017,04/30/2017,corner,132
663,LINK-000524,Manhattan,40.7555,-73.991425,Live,04/11/2016,03/19/2016,corner,121
664,LINK-000457,Manhattan,40.742689,-74.000238,Live,05/30/2017,04/30/2017,corner,130
665,LINK-021505,Brooklyn,40.680323,-73.978034,Live,09/05/2017,07/27/2017,corner,30
666,LINK-012181,Manhattan,40.736806,-73.993513,Live,05/09/2018,09/23/2017,block,64
667,LINK-000569,Manhattan,40.75967,-73.987786,Live,04/06/2016,03/12/2016,corner,105
668,LINK-001006,Bronx,40.819886,-73.926847,Live,07/15/2016,06/09/2016,corner,3
669,LINK-006141,Brooklyn,40.687457,-73.98192,Live,03/29/2018,09/17/2017,corner,2
670,LINK-000185,Manhattan,40.750092,-73.987792,Live,07/18/2016,04/30/2016,corner,240
671,LINK-011039,Queens,40.74749,-73.88469,Live,10/04/2017,08/31/2017,corner,56
672,LINK-020655,Brooklyn,40.686177,-73.991014,Live,09/18/2017,07/31/2017,corner,108
673,LINK-020959,Queens,40.763931,-73.922478,Live,05/31/2018,12/15/2017,corner,16
674,LINK-000178,Manhattan,40.764127,-73.982309,Live,07/19/2016,04/16/2016,corner,89
675,LINK-003237,Manhattan,40.72746,-73.988372,Live,09/19/2016,09/02/2016,corner,82
676,LINK-002074,Manhattan,40.833911,-73.944772,Live,07/06/2017,06/10/2017,corner,29
677,LINK-000008,Brooklyn,40.698876,-73.938447,Live,07/27/2018,04/10/2018,block,43
678,LINK-000804,Queens,40.704609,-73.796801,Live,09/23/2016,08/27/2016,corner,20
679,LINK-021122,Brooklyn,40.719246,-73.958612,Live,02/14/2018,11/30/2017,corner,68
680,LINK-014399,Manhattan,40.802607,-73.956796,Live,10/20/2016,09/24/2016,corner,54
681,LINK-000019,Brooklyn,40.640666,-73.955924,Live,05/10/2018,01/26/2018,corner,58
682,LINK-014008,Manhattan,40.745448,-73.994537,Live,02/09/2018,11/04/2017,corner,213
683,LINK-000949,Manhattan,40.780019,-73.981396,Live,10/16/2017,07/07/2017,corner,79
684,LINK-005430,Bronx,40.827825,-73.924833,Live,07/15/2016,07/01/2016,corner,50
685,LINK-013324,Bronx,40.862152,-73.898396,Live,10/26/2017,06/24/2017,corner,10
686,LINK-000241,Manhattan,40.73477,-73.986259,Live,01/27/2016,01/08/2016,corner,141
687,LINK-020907,Queens,40.762073,-73.918518,Live,02/08/2018,12/15/2017,corner,38
688,LINK-010684,Manhattan,40.746426,-73.985816,Live,06/05/2017,02/11/2017,corner,103
689,LINK-021150,Brooklyn,40.723014,-73.953234,Live,04/10/2018,11/22/2017,block,13
690,LINK-013962,Manhattan,40.729558,-74.002385,Live,04/26/2018,03/10/2018,corner,129
691,LINK-020504,Bronx,40.814471,-73.912954,Live,06/25/2018,01/14/2018,corner,47
692,LINK-001827,Queens,40.715758,-73.833513,Live,07/29/2016,07/20/2016,corner,1
693,LINK-008221,Manhattan,40.729831,-73.986658,Live,10/27/2016,09/18/2016,corner,173
694,LINK-011092,Queens,40.746711,-73.892145,Live,06/18/2018,07/08/2017,corner,47
695,LINK-011383,Bronx,40.849093,-73.900031,Live,06/16/2017,05/10/2017,corner,5
696,LINK-012863,Manhattan,40.849423,-73.933529,Live,03/12/2018,12/05/2017,corner,45
697,LINK-014212,Manhattan,40.741502,-73.993593,Live,05/21/2018,04/14/2018,corner,85
698,LINK-005578,Bronx,40.8681,-73.900706,Live,01/22/2018,09/16/2017,corner,34
699,LINK-013361,Manhattan,40.822215,-73.942235,Live,10/19/2016,10/03/2016,corner,41
700,LINK-012676,Manhattan,40.741225,-73.978935,Installed,,05/08/2018,block,40
701,LINK-019783,Queens,40.75195,-73.93338,Live,01/09/2018,10/14/2017,corner,14
702,LINK-021329,Queens,40.765785,-73.919173,Live,10/09/2017,09/16/2017,corner,90
703,LINK-012528,Manhattan,40.731521,-73.982765,Live,02/01/2017,11/05/2016,corner,46
704,LINK-000927,Manhattan,40.774913,-73.982388,Live,10/16/2017,05/10/2017,corner,67
705,LINK-013806,Manhattan,40.753978,-73.988322,Live,06/14/2017,04/01/2017,corner,278
706,LINK-001112,Queens,40.699888,-73.831131,Live,06/26/2017,05/12/2017,corner,18
707,LINK-013398,Manhattan,40.848083,-73.93451,Installed,,04/14/2018,corner,38
708,LINK-013299,Queens,40.692106,-73.861994,Live,08/07/2017,06/24/2017,corner,13
709,LINK-000801,Queens,40.704355,-73.797865,Live,09/30/2016,08/19/2016,corner,50
710,LINK-012573,Manhattan,40.740233,-73.979048,Live,11/15/2017,09/26/2017,corner,110
711,LINK-013313,Bronx,40.817141,-73.916208,Live,12/22/2016,10/22/2016,corner,1
